"Carimbo de data/hora","Confirme que você concorda com os termos e condições acima para a pesquisa.","Qual sua idade?","Há quantos anos você trabalha na área de tecnologia da informação/TI?","Qual sua função na empresa onde vc trabalha?","Qual o tamanho da sua equipe de trabalho?","Qual seu grau de educação formal?","Você é responsável pelas decisões arquiteturais no seu local de trabalho?","Há quantos anos você trabalha tomando e/ou documentando decisões arquiteturais?","Em qual fase do projeto são tomadas as decisões arquiteturais?","Como as decisões arquiteturais são tomadas?","Descreva como são tomadas as decisões arquiteturais onde você trabalha.","O quão confiante você é ao tomar uma decisão arquitetural?","Ao tomar uma decisão arquitetural, você procura eleger mais uma solução na sua mente?","Você utiliza alguma ferramenta de apoio a tomada de decisão arquitetural?","Como são documentadas as decisões arquiteturais tomadas?","Quão importante você considera documentar decisões arquiteturais tomadas?","As decisões arquiteturais tomadas são revisitadas durante o tempo de vida do projeto? ","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Tamanho da Empresa]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Negociais (Domínio, Modelo, Custo/Risco/Tempo, Estratégia de Negócio)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Organizacionais (Tamanho do Time, Organização do Time, Processos e Práticas, Padrões e Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Técnicos (Princípios e Padrões, Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Culturais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Individuais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores de Projeto (Tipo e Duração do Projeto)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Escopo da Decisão]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Atributos de Qualidade]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Requisitos do Usuário]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Literatura existente]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Ferramentas e Tecnologia Disponíveis]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Falta de clareza nos requisitos]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Requisitos Não Funcionais Conflitantes (ex.: Desempenho x Segurança)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Prazo de entrega insuficiente]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Conflito entre Stakeholders]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Obrigações Contratuais Legais (ex.: LGPD)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Pouca Familiariadade com Domínio de Negócio]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Utilizar fatos ao invés de suposições]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Verificar adequação da solução com o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Checar prós e contras da solução selecionada]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Escolher a solução de acordo com as limitações do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Pensar em mais de uma solução arquitetural para o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Decidir respeitando o tempo de entrega do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Definir prioridades do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Antecipar possíveis riscos na escolha da solução]"
"2022/12/22 10:42:55 AM GMT-3","Concordo.","Mais de 50 anos","Mais de 15 anos","Gerente de Projeto","1 - 10","Pós-Graduação / MBA","Sim","10 a 20 anos","Qualquer momento","Decisão em grupo","","3","4","Não","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails","4","2","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Moderadamente Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2022/12/22 10:47:12 AM GMT-3","Concordo.","Mais de 50 anos","Mais de 15 anos","Diretor de sistemas","11 - 25","Pós-Graduação / MBA","Sim","Mais de 20 anos","Fase inicial do projeto","Decisão em grupo","Em equipe, Diretor e fiscais reunidos com Analistas de sistema","4","4","Não","Documento de Texto (Word, Text, Google Docs);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","4","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Muito Importante","Moderadamente Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Moderadamente Importante","Muito Importante","Impacto elevado","Impacto moderado","Pouco impacto","Pouco impacto","Pouco impacto","Impacto elevado","Muito Importante","Muito Importante","Muito Importante","Moderamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Muito Importante"
"2022/12/22 11:28:03 AM GMT-3","Concordo.","Mais de 50 anos","Mais de 15 anos","Gerente de Projeto","11 - 25","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/22 12:00:42 PM GMT-3","Concordo.","31 a 40 anos","6 a 10 anos","Desenvolvedor(a) Senior","1 - 10","Pós-Graduação / MBA","Sim","3 a 4 anos","Qualquer momento","Decisão em grupo","","3","2","Não","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);xmind","5","5","Pouco Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante"
"2022/12/22 3:14:17 PM GMT-3","Concordo.","Mais de 50 anos","Mais de 15 anos","Gerente de Projeto","1 - 10","Doutorado / PhD","Sim","10 a 20 anos","Fase inicial do projeto","Decisão em grupo","","4","4","Não","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails","5","3","Moderadamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Muito Importante","Muito Importante","Muito Importante","Moderadamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2022/12/22 3:35:31 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Analista de Sistemas","1 - 10","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/22 4:25:18 PM GMT-3","Concordo.","20 a 30 anos","6 a 10 anos","Líder de time","11 - 25","Graduação","Sim","1 a 2 anos","Fase inicial do projeto","Decisão em grupo","","5","5","Não","Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","5","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Pouco Importante","Pouco Importante","Pouco Importante","Moderadamente Importante","Moderadamente Importante","Muito Importante","Moderadamente Importante","Extremamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderamente Importante","Muito Importante","Muito Importante","Muito Importante"
"2022/12/23 2:07:44 PM GMT-3","Concordo.","41 a 50 anos","Mais de 15 anos","Líder de time","1 - 10","Pós-Graduação / MBA","Sim","10 a 20 anos","Durante as iterações ou sprints","Decisão em grupo","","4","4","Não","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails","5","2","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2022/12/23 6:32:56 PM GMT-3","Concordo.","31 a 40 anos","6 a 10 anos","Desenvolvedor(a) Senior","1 - 10","Graduação","Sim","3 a 4 anos","Qualquer momento","Decisão em grupo","São levantados os problemas, as possíveis soluções e, após discussão sobre prós e contras, as decisões são tomadas.","3","5","Não","Código-fonte (Gitlab, Github, DCVS, CVS, etc.)","5","2","Nenhum Pouco Importante","Moderadamente Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Impacto muito elevado","Impacto moderado","Impacto muito elevado","Impacto moderado","Impacto moderado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/01/02 4:04:45 PM GMT-3","Concordo.","31 a 40 anos","1 a 5 anos","Desenvolvedor Pleno","1 - 10","Mestrado","Sim","1 a 2 anos","Durante as iterações ou sprints","Decisão em grupo","","2","3","Não","Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","3","Muito Importante","Muito Importante","Moderadamente Importante","Moderadamente Importante","Pouco Importante","Pouco Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Moderadamente Importante","Muito Importante","Impacto elevado","Impacto moderado","Impacto muito elevado","Impacto moderado","Impacto elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/01/09 2:11:09 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Analista de Negócios","1 - 10","Pós-Graduação / MBA","Sim","5 a 10 anos","Fase inicial do projeto","Depende do projeto, mas normalmente em grupo.","Normalmente, durante a fase inicial de elicitação de requisitos, já é possível extrair uma base de como proceder na esfera arquitetural. Conforme a etapa de elicitação avança e os requisitos se tornam mais claros, a equipe técnica consegue definir a arquitetura. Já vivi situações em que essa definição foi definida apenas por mim e outras em que a equipe definiu consensualmente, sendo essa última maneira a que enxergo como mais comum.","4","4","Sim","Wiki;Documento de Texto (Word, Text, Google Docs);Diagramas UML","3","2","Pouco Importante","Extremamente Importante","Muito Importante","Muito Importante","Moderadamente Importante","Pouco Importante","Muito Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Impacto muito elevado","Impacto moderado","Impacto muito elevado","Impacto elevado","Impacto elevado","Impacto moderado","Extremamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Moderamente Importante","Extremamente Importante","Muito Importante","Muito Importante"
"2023/01/23 12:35:19 PM GMT-3","Concordo.","Mais de 50 anos","Mais de 15 anos","Líder de time","1 - 10","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/01/23 1:05:08 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Líder de time","1 - 10","Doutorado / PhD","Sim","5 a 10 anos","Durante as iterações ou sprints","Decisão em grupo","Existe um desenho inicial de arquitetura que é revisitado a cada sprint review ou release. Comentários e compartilhamento de conhecimento sobre a arquitetura são feitos diariamente em qq oportunidade ou no daily meeting","4","3","Não","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","5","Muito Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Moderadamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Extremamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Muito Importante","Moderamente Importante","Muito Importante","Moderamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante"
"2023/01/23 1:48:45 PM GMT-3","Concordo.","41 a 50 anos","Mais de 15 anos","Diretor","Mais de 100","Doutorado / PhD","Sim","10 a 20 anos","Fase inicial do projeto","Decisão em grupo","","4","5","Sim","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.)","5","4","Moderadamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Impacto elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Muito Importante","Moderamente Importante","Moderamente Importante"
"2023/01/23 2:13:20 PM GMT-3","Concordo.","41 a 50 anos","Mais de 15 anos","Desenvolvedor(a) Senior","1 - 10","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/01/23 2:45:45 PM GMT-3","Concordo.","41 a 50 anos","Mais de 15 anos","Gerente de Operações ","Mais de 100","Pós-Graduação / MBA","Sim","5 a 10 anos","Fase inicial do projeto","Decisão em grupo","A arquitetura precisa ser definida com base no escopo contratado pelo cliente. Após alinhamento inicial, os arquitetos fazem o projeto e submetem para a aprovação do cliente. Em seguida são realizados os ajustes solicitados e caso aprovado, segue para desenvolvimento do projeto.","5","5","Não","Depende do projeto. Alguns utilizam Jira, outros utilizam Word.","5","4","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Extremamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/01/23 2:58:01 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Desenvolvedor(a) Senior","1 - 10","Pós-Graduação / MBA","Sim","3 a 4 anos","Fase inicial do projeto","Decisão em grupo","","4","3","Não","Wiki","5","4","Muito Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Pouco Importante","Pouco Importante","Muito Importante","Moderadamente Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Impacto elevado","Impacto moderado","Impacto moderado","Pouco impacto","Impacto muito elevado","Pouco impacto","Extremamente Importante","Extremamente Importante","Muito Importante","Moderamente Importante","Moderamente Importante","Extremamente Importante","Muito Importante","Moderamente Importante"
"2023/01/23 3:05:11 PM GMT-3","Concordo.","31 a 40 anos","6 a 10 anos","Desenvolvedor(a) Senior","1 - 10","Pós-Graduação / MBA","Sim","3 a 4 anos","Qualquer momento","Decisão em grupo","A organização possui um processo de desenvolvimento de software no qual se insere uma etapa de gerenciamento de arquitetura de software. Essa etapa  é responsável pela definição da arquitetura do software, seus componentes, suas propriedades externas e seus relacionamentos com outros softwares. Partimos de uma arquitetura base predefinida para determinado tipo de software a ser desenvolvido. Com as iterações da sprint o software eventualmente poderá ter alguns ajustes em sua arquitetura, retroalimentando o processo de desenvolvimento com essas modificações, o que pode influir em todo o ciclo de vida desse e dos demais softwares. As decisões são tomadas, portanto, de modo contínuo ao longo do desenvolvimento e partem de um núcleo arquitetural predefinido. ","5","5","Não","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);Confluence","5","5","Moderadamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Pouco Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Extremamente Importante","Impacto elevado","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Impacto moderado","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Muito Importante"
"2023/01/23 3:11:23 PM GMT-3","Concordo.","41 a 50 anos","11 a 15 anos","Líder de time","1 - 10","Graduação","Sim","5 a 10 anos","Não existe uma fase definida, tomamos decisões a medida que os desafios são impostos.","Decisão em grupo","","3","4","Não","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","3","Extremamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Moderadamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto elevado","Impacto moderado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
